,cubeid,cubeidpub,cubename,catid,pa_gaskin,pa_gaskin_err
1650,419299_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,419299_A,419299_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,419299,358.0,0.16666667
1651,419334_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,419334_A,419334_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,419334,253.5,0.16666667
1652,419335_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,419335_A,419335_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,419335,359.0,2.75
1653,419345_blue_red_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02,419345_A,419345_blue_7_Y17SAR1_P001_09T125_2017_03_24-2017_04_02.fits,419345,67.0,2.8333333
1654,419549_blue_red_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22,419549_A,419549_blue_7_Y18SAR1_P001_09T139_2018_03_12-2018_03_22.fits,419549,319.5,0.16666667
1655,419632_blue_red_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17,419632_A,419632_blue_8_Y13SAR1_P010_09T010_2013_03_05-2013_03_17.fits,419632,18.5,0.5
1656,422286_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422286_A,422286_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422286,349.0,0.16666667
1657,422289_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422289_A,422289_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422289,110.5,0.16666667
1658,422291_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422291_A,422291_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422291,96.5,0.25
1659,422292_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,422292_A,422292_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,422292,6.0,0.16666667
1660,422320_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,422320_A,422320_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,422320,3.0,0.16666667
1661,422355_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,422355_A,422355_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,422355,12.5,0.5833333
1662,422359_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,422359_A,422359_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,422359,94.5,0.16666667
1663,422366_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,422366_A,422366_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,422366,348.0,0.16666667
1664,422389_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422389_A,422389_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422389,42.0,0.6666667
1665,422406_blue_red_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17,422406_A,422406_blue_8_Y13SAR1_P006_09T014_2013_03_05-2013_03_17.fits,422406,175.5,7.8333335
1666,422411_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422411_A,422411_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422411,186.5,1.0
1667,422436_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422436_A,422436_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422436,138.0,0.16666667
1668,422443_blue_red_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25,422443_A,422443_blue_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25.fits,422443,126.5,0.16666667
1669,422446_blue_red_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13,422446_A,422446_blue_7_Y16SAR2_P002_09T117_2016_03_03-2016_03_13.fits,422446,176.0,0.5
1670,422464_blue_red_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25,422464_A,422464_blue_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25.fits,422464,209.0,0.16666667
1671,422486_blue_red_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25,422486_A,422486_blue_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25.fits,422486,147.5,0.16666667
1672,422501_blue_red_7_Y16SAR2_P003_09T121_2017_02_27-2017_03_05,422501_A,422501_blue_7_Y16SAR2_P003_09T121_2017_02_27-2017_03_05.fits,422501,356.0,0.16666667
1673,422610_blue_red_7_Y16SAR2_P003_09T121_2017_02_27-2017_03_05,422610_A,422610_blue_7_Y16SAR2_P003_09T121_2017_02_27-2017_03_05.fits,422610,12.0,2.8333328
1674,422619_blue_red_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25,422619_A,422619_blue_7_Y14SAR1_P002_09T062_2015_02_16-2015_02_25.fits,422619,319.0,0.33333334
