,catid,photometry,remge,mmge,rextinction,pamge,epsmge_re,epsmge_lw,dist2nneigh,chi2
3075,9403800156,VST,3.4537184,15.591794,0.043,55.27585,0.55239064,0.56468606,4.300244,1.2732004
3076,9403800159,VST,1.2389752,16.07728,0.047,32.44606,0.042195212,0.12341368,31.613447,1.7461319
3077,9403800161,VST,4.929889,15.34552,0.052,29.294495,0.35862517,0.16649872,10.052929,7.490627
3078,9403800165,VST,2.6525528,16.248682,0.046,97.104645,0.24110056,0.15490526,12.14014,2.4450521
3079,9403800167,VST,1.0971059,16.076645,0.049,155.30185,0.11631694,0.2594316,9.659821,1.9824405
3080,9403800168,VST,3.063396,14.593978,0.046,34.935516,0.20663953,0.23099881,14.976135,0.9214566
3081,9403800169,VST,4.723931,14.808444,0.048,81.75,0.45501423,0.43419433,12.915688,1.2382413
3082,9403800184,VST,5.8989463,13.438169,0.046,66.58293,0.11937798,0.1227597,27.475986,1.1211487
3083,9403800187,VST,2.4862752,16.273096,0.05,116.50041,0.21221982,0.20114148,12.566699,1.7095219
3084,9403800215,VST,4.624158,14.588534,0.046,40.093872,0.21622877,0.14104009,22.625818,1.1783266
3085,9403800231,VST,5.2794046,16.459248,0.047,152.3082,0.6152313,0.29607087,11.004951,4.6140056
3086,9403800245,VST,1.5130786,17.617634,0.048,109.56398,0.43535197,0.5617095,21.337914,4.3946166
3087,9403800248,VST,2.788786,17.520044,0.048,2.9315186,0.18789187,0.0964278,21.042286,8.730476
3088,9403800250,VST,2.593869,15.395389,0.044,109.530396,0.29889995,0.29777014,20.196146,1.5748926
3089,9403800256,VST,3.3094084,16.261875,0.046,139.94,0.47377682,0.41938245,20.757133,4.9156084
3090,9403800272,VST,6.2907867,14.978029,0.043,173.30972,0.094303444,0.18942696,18.2874,3.7816665
3091,9403800283,VST,2.1078105,17.750977,0.055,43.33,2.220446e-16,5.9604645e-08,24.919193,10.389954
3092,9403800295,VST,1.8773055,15.882129,0.045,138.23148,0.2464558,0.36215323,17.683493,3.692975
3093,9403800301,VST,3.3049212,16.60472,0.05,65.91263,0.15020753,0.08902693,10.468131,2.7664084
3094,9403800315,VST,1.7468829,17.02356,0.046,142.99106,0.45777312,0.51185,35.272865,3.1467235
3095,9403800318,VST,3.519857,16.058828,0.044,134.50803,0.09372341,0.07321143,21.793188,3.7428358
3096,9403800319,VST,2.1494203,16.861605,0.048,62.307007,0.5283196,0.5671947,41.899067,3.6719778
3097,9403800347,VST,3.1595817,14.753424,0.05,64.67171,0.25163355,0.19224924,13.003136,2.4517932
3098,9403800349,VST,3.2164283,13.89053,0.051,18.91922,0.4815816,0.5856986,13.0012455,1.4924854
