,cubeidpub,cubeid,cubename,catid,cubefwhm,cubetexp,meantrans,isbest,catsource,warnstar,warnfill,warnz,warnmult,warnakpc,warnare,warnamge,warnsk2m,warnsk4m,warnsk4mhsn,warnfcal,warnfcbr,warnskyb,warnskyr,warnsker,warnwcs,warnre,warnskem,warnemft
784,79690_A,79690_7_Y13SAR1_P008_15T016_2013_03_05-2013_03_17,79690_blue_7_Y13SAR1_P008_15T016_2013_03_05-2013_03_17.fits,79690,2.6744988,12600.0,0.858792,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,79693_A,79693_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17,79693_blue_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17.fits,79693,2.1411994,12600.0,0.98808795,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,7969_A,7969_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01,7969_blue_7_Y16SAR4_P002_12T101_2017_04_19-2017_05_01.fits,7969,1.5607373,12600.0,1.072321,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,79706_B,79706_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01,79706_blue_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01.fits,79706,1.7883683,17400.0,0.8932144,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,79706_A,79706_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02,79706_blue_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02.fits,79706,1.824358,22741.0,0.9149272,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,79706_C,79706_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22,79706_blue_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22.fits,79706,1.7093408,10200.0,0.8123114,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,79710_A,79710_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17,79710_blue_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17.fits,79710,2.1411994,12600.0,0.98808795,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,79711_A,79711_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19,79711_blue_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19.fits,79711,2.231909,12600.0,0.8402893,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,79712_A,79712_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17,79712_blue_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17.fits,79712,2.1411994,12600.0,0.98808795,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,79733_A,79733_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05,79733_blue_10_Y14SAR2_P008_15T068_2017_02_27-2017_03_05.fits,79733,2.1248715,17100.0,0.7808117,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,79734_B,79734_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01,79734_blue_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01.fits,79734,1.7883683,17400.0,0.8932144,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,79734_A,79734_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02,79734_blue_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02.fits,79734,1.824358,22741.0,0.9149272,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,79734_C,79734_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22,79734_blue_6_Y14SAR3_P007_15T082_2018_03_12-2018_03_22.fits,79734,1.7093408,10200.0,0.8123114,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,79750_A,79750_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19,79750_blue_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19.fits,79750,2.231909,12600.0,0.8402893,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,79771_A,79771_7_Y13SAR1_P008_15T016_2013_03_05-2013_03_17,79771_blue_7_Y13SAR1_P008_15T016_2013_03_05-2013_03_17.fits,79771,2.6744988,12600.0,0.858792,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,79810_B,79810_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01,79810_blue_10_Y14SAR3_P007_15T082_2017_04_19-2017_05_01.fits,79810,1.7883683,17400.0,0.8932144,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,79810_A,79810_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02,79810_blue_13_Y14SAR3_P007_15T082_2017_03_24-2017_04_02.fits,79810,1.824358,22741.0,0.9149272,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
